,fips,county,zhvi_weighted,population_growth,population,All industry total_growth,unemployment_rate,unemployment_rate_growth,predicted_3yr_appreciation
344,13013,"Barrow, GA",225600.406286012,1.081038961038961,83240,1.2321767678654685,2.9,0.6041666666666666,1.5809625
415,13157,"Jackson, GA",208174.77073360427,1.1216704323634743,72977,1.2286635222783855,2.7,0.6279069767441862,1.5705702
504,16019,"Bonneville, ID",221882.2608838582,1.061934747319788,119062,1.244403384994826,2.3,0.7419354838709676,1.5486124
463,13255,"Spalding, GA",186626.6361380416,1.0334180274532891,66703,1.1471321547162148,4.1,0.5857142857142856,1.537009
1867,49011,"Davis, UT",338340.9891227882,1.0424662756598242,355481,1.2283541136236351,2.4,0.7741935483870968,1.534133
508,16039,"Elmore, ID",384374.0,1.0525691548379692,27511,1.167495437531819,3.1,0.775,1.5323409
445,13219,"Oconee, GA",208713.50907267135,1.0907416935199978,40280,1.2840557575962128,2.6,0.6341463414634148,1.5322521
1849,48367,"Parker, TX",241831.57683969176,1.107864802623927,142878,1.159969692451412,2.9,0.7073170731707318,1.5273728
1195,32510,"Carson City (Independent City), NV",344113.03325816576,1.0326703233789498,55916,1.202808195952887,3.9,0.6290322580645161,1.5269252
1871,49057,"Weber, UT",282532.5553724428,1.052935487656344,260213,1.205804059495465,2.9,0.7837837837837838,1.5222679
1190,32003,"Clark, NV",274750.58989092713,1.0597890628360471,2266715,1.191480572775343,4.1,0.6949152542372881,1.5160768
502,16011,"Bingham, ID",210016.74659615962,1.0330133509875317,46811,1.2395586438977828,2.5,0.7352941176470589,1.5141594
1960,53021,"Franklin, WA",252701.9141953552,1.0556879788024258,95222,1.20906679534447,6.4,0.8767123287671234,1.5139469
1967,53041,"Lewis, WA",251517.44262381594,1.0523385445868594,80707,1.2655551969760217,6.1,0.7922077922077921,1.5097058
403,13133,"Greene, GA",238863.0287419136,1.0862528899164148,18324,1.2147833115879079,3.9,0.639344262295082,1.5082124
1574,41047,"Marion, OR",291972.12663641927,1.0370801056705488,347818,1.2077077054905272,3.9,0.78,1.50742
368,13063,"Clayton, GA",154370.29905074005,1.0462637783577309,292256,1.1194476011755572,4.4,0.6567164179104478,1.5073487
286,12033,"Escambia, FL",168874.487439344,1.0219698015558332,318316,1.1642317460783842,3.4,0.6799999999999999,1.5046269
1348,37109,"Lincoln, NC",186150.31361005112,1.0601016878208522,86111,1.2667585517108235,3.4,0.7234042553191489,1.5024356
597,18059,"Hancock, IN",199551.05546892178,1.0596895546668474,78168,1.3908602699571928,2.8,0.7567567567567567,1.4989803
1826,48221,"Hood, TX",245859.53092728052,1.0896957697678942,61643,1.355912217601819,3.4,0.7234042553191489,1.4989622
1791,48021,"Bastrop, TX",240409.2744449655,1.0742453778256709,88723,1.2043519253621129,3.1,0.8378378378378378,1.4988196
323,12105,"Polk, FL",181685.88161164641,1.0885430512313332,724777,1.203814934551574,3.9,0.6964285714285715,1.4987514
447,13223,"Paulding, GA",197131.8011113718,1.0864498924287904,168667,1.2027510994748678,3.0,0.6382978723404255,1.4982855
408,13143,"Haralson, GA",139898.97007884982,1.033368019424211,29792,1.1185155325539966,3.4,0.5762711864406779,1.49684
327,12113,"Santa Rosa, FL",216357.9808558885,1.084870566353138,184313,1.1961309430038751,3.1,0.673913043478261,1.4965961
1571,41041,"Lincoln, OR",287832.0264716345,1.0453832151151845,49962,1.2001863677594775,4.3,0.7818181818181817,1.4963174
1962,53027,"Grays Harbor, WA",305282.0,1.0493492331995915,75061,1.209451673218587,7.0,0.853658536585366,1.4962878
296,12053,"Hernando, FL",169580.42904196572,1.0628141116634422,193920,1.2128141381921116,4.4,0.7213114754098362,1.4961245
1981,53073,"Whatcom, WA",390349.57811944967,1.0592836976762454,229247,1.3902026691173708,5.0,0.8771929824561403,1.4955068
